Species,nearest_1,n,percent
Arctogalidia_trivirgata,Atilax_paludinosus,96,0.096
Arctogalidia_trivirgata,Hydrictis_maculicollis,55,0.055
Arctogalidia_trivirgata,Taxidea_taxus,55,0.055
Arctogalidia_trivirgata,Vulpes_rueppellii,54,0.054
Arctogalidia_trivirgata,Vulpes_chama,53,0.053
Arctogalidia_trivirgata,Paguma_larvata,52,0.052
Bassaricyon_alleni,Bdeogale_jacksoni,208,0.208
Bassaricyon_alleni,Potos_flavus,170,0.17
Bassaricyon_alleni,Otocyon_megalotis,94,0.094
Bassaricyon_alleni,Arctonyx_collaris,67,0.067
Catopuma_badia,Speothos_venaticus,201,0.201
Catopuma_badia,Leptailurus_serval,112,0.112
Catopuma_badia,Prionailurus_bengalensis,104,0.104
Catopuma_badia,Leopardus_wiedii,102,0.102
Catopuma_badia,Felis_silvestris,95,0.095
Catopuma_badia,Cryptoprocta_ferox,85,0.085
Catopuma_badia,Catopuma_temminckii,61,0.061
Catopuma_badia,Poecilogale_albinucha,51,0.051
Chrotogale_owstoni,Ichneumia_albicauda,102,0.102
Chrotogale_owstoni,Conepatus_mesoleucus,95,0.095
Chrotogale_owstoni,Nasua_nasua,93,0.093
Chrotogale_owstoni,Otocyon_megalotis,87,0.087
Chrotogale_owstoni,Arctonyx_collaris,68,0.068
Chrotogale_owstoni,Bdeogale_jacksoni,68,0.068
Chrotogale_owstoni,Ailurus_fulgens,67,0.067
Chrotogale_owstoni,Viverricula_indica,58,0.058
Chrotogale_owstoni,Procyon_lotor,51,0.051
Cynogale_bennettii,Nasua_nasua,142,0.142
Cynogale_bennettii,Procyon_lotor,132,0.132
Cynogale_bennettii,Procyon_cancrivorus,110,0.11
Cynogale_bennettii,Arctonyx_collaris,93,0.093
Cynogale_bennettii,Ailurus_fulgens,59,0.059
Cynogale_bennettii,Bdeogale_jacksoni,53,0.053
Daphoenus,Canis_aureus,100,0.1
Daphoenus,Taxidea_taxus,78,0.078
Daphoenus,Gulo_gulo,67,0.067
Daphoenus,Arctictis_binturong,64,0.064
Daphoenus,Lycalopex_culpaeus,63,0.063
Daphoenus,Canis_latrans,58,0.058
Daphoenus,Canis_adustus,57,0.057
Daphoenus,Viverra_zibetha,52,0.052
Dinictis,Lycaon_pictus,212,0.212
Dinictis,Cuon_alpinus,141,0.141
Dinictis,Uncia_uncia,96,0.096
Dinictis,Canis_lupus,78,0.078
Hemigalus_derbyanus,Nasuella_olivacea,343,0.343
Hemigalus_derbyanus,Nasua_nasua,143,0.143
Hemigalus_derbyanus,Ichneumia_albicauda,101,0.101
Hemigalus_derbyanus,Bdeogale_jacksoni,98,0.098
Herpestes_brachyurus,Mephitis_mephitis,123,0.123
Herpestes_brachyurus,Viverricula_indica,98,0.098
Herpestes_brachyurus,Vulpes_zerda,92,0.092
Herpestes_brachyurus,Bassariscus_astutus,76,0.076
Herpestes_brachyurus,Fossa_fossana,76,0.076
Herpestes_brachyurus,Conepatus_mesoleucus,75,0.075
Herpestes_brachyurus,Ichneumia_albicauda,68,0.068
Herpestes_brachyurus,Spilogale_putorius,64,0.064
Herpestes_brachyurus,Mungotictis_decemlineata,59,0.059
Hoplophoneus_primaevus,Lycaon_pictus,166,0.166
Hoplophoneus_primaevus,Cuon_alpinus,144,0.144
Hoplophoneus_primaevus,Neofelis_nebulosa,144,0.144
Hoplophoneus_primaevus,Caracal_caracal,76,0.076
Hoplophoneus_primaevus,Uncia_uncia,68,0.068
Miacis,Conepatus_mesoleucus,95,0.095
Miacis,Lycalopex_vetulus,76,0.076
Miacis,Otocyon_megalotis,73,0.073
Miacis,Arctonyx_collaris,63,0.063
Miacis,Bdeogale_jacksoni,61,0.061
Mydaus_javanensis,Bassariscus_astutus,260,0.26
Mydaus_javanensis,Viverricula_indica,129,0.129
Mydaus_javanensis,Ichneumia_albicauda,95,0.095
Mydaus_javanensis,Fossa_fossana,68,0.068
Mydaus_javanensis,Conepatus_mesoleucus,67,0.067
Mydaus_javanensis,Mephitis_mephitis,59,0.059
Paradoxurus_musanga,Atilax_paludinosus,78,0.078
Paradoxurus_musanga,Conepatus_mesoleucus,72,0.072
Paradoxurus_musanga,Paguma_larvata,68,0.068
Paradoxurus_musanga,Lycalopex_vetulus,65,0.065
Paradoxurus_musanga,Arctonyx_collaris,63,0.063
Paradoxurus_musanga,Taxidea_taxus,59,0.059
Paradoxurus_musanga,Otocyon_megalotis,52,0.052
