Species	Family	Discrete	m1_opcr	m2_opcr	m1_dne	m2_dne	RFI_m1	RFI_m2	RLGA	log_cuberoot_mass	large_mammal	small_mammal	bird	herptile	fish	egg	carrion	hard_invert	soft_invert	seed	fruit	root	plant	hopkins_pineda	hopkins_van_valk	pineda	pantheria
Acinonyx_jubatus	Felidae	Carnivore	22.75	0	0.049662	0	0.6743835	0	0	1.307838372	3	1	1	0	0	0	0	0	0	0	0	0	0	Hypercarnivore	Hypercarnivore	Carnivore	Carnivore
Ailuropoda_melanoleuca	Ursidae	Herbivore	114.75	183.75	0.065052	0.058547	0.3823937	0.2921464	1.4275585	1.59022818	0	0	0	0	0	0	1	0	0	0	0	0	3	Hypocarnivore-Omnivorous	Hypocarnivore	Herbivore	Herbivore
Ailurus_fulgens	Ailuridae	Herbivore	99.62	110.62	0.079922	0.079639	0.452552	0.4310733	1.4142072	0.547629387	0	0	0	0	0	0	0	0	0	0	1	0	3	Hypocarnivore-Omnivorous	Hypocarnivore	Herbivore	Herbivore
Arctictis_binturong	Viverridae	Frugivore	71.12	41.5	0.053706	0.03446	0.4691966	0.4535101	1.1861227	0.854982863	0	0	0	0	0	0	0	1	0	0	3	0	0	Hypocarnivore-Omnivorous	Hypocarnivore	NA	Herbivore
Arctogalidia_trivirgata	Viverridae	NA	93.25	46.88	0.064291	0.035816	0.5160383	0.5351409	1.1731327	0.281066491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hypocarnivore-Omnivorous	Hypocarnivore	NA	Omnivore
Arctonyx_collaris	Mustelidae	Omnivore	99.62	61.25	0.081657	0.05033	0.4344466	0.544532	1.1837382	0.70001429	0	1	1	1	0	0	0	3	3	1	3	1	1	Hypocarnivore-Omnivorous	Hypocarnivore	NA	Omnivore
Atilax_paludinosus	Herpestidae	Omnivore	57.62	41.5	0.051523	0.052028	0.4614205	0.437708	1.0127798	0.426992763	1	3	1	3	2	1	1	3	2	1	1	0	0	Hypocarnivore-Omnivorous	Hypocarnivore	NA	Omnivore
Bassaricyon_alleni	Procyonidae	Frugivore	43.12	30.12	0.043093	0.019724	0.4115087	0.2605154	2.2535234	0.096560025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hypocarnivore-Omnivorous	Hypocarnivore	NA	NA
Bassariscus_astutus	Procyonidae	Omnivore	67.25	76.25	0.081705	0.071389	0.5714647	0.4991596	1.1009056	0.003438867	0	3	1	2	0	0	1	3	3	1	3	0	2	Hypocarnivore-Omnivorous	Hypocarnivore	NA	Omnivore
Bdeogale_jacksoni	Herpestidae	Omnivore	83.75	72.75	0.062544	0.055654	0.4966383	0.5013212	1.959717989	0.3054302	0	3	1	1	0	1	1	3	1	0	0	0	0	Mesocarnivore	Mesocarnivore	NA	Carnivore
