Species,bird,carrion,egg,fish,fruit,hard_invert,herptile,large_mammal,plant,root,seed,small_mammal,soft_invert
Acinonyx_jubatus,2.10485938,1.438103886,1.335372514,1.385480016,1.334227969,1.556409129,1.993220682,3.756172285,1.622275766,1.030804377,1.056139687,3.114779546,1.101371998
Ailuropoda_melanoleuca,1.757946461,2.108610117,1.309513995,1.572393814,2.442181186,1.972088638,1.413070107,1.873216561,3.1078555,1.437634623,1.394227806,1.991744844,1.503733518
Ailurus_fulgens,1.861251546,1.575080011,1.535575043,1.376837872,2.586342192,3.199017713,2.185718796,1.105273209,2.747693034,1.205235857,1.542334322,2.155541669,2.320617782
Arctictis_binturong,1.980951067,1.487701718,1.438396849,1.57789977,3.574210841,2.795408237,1.86251813,1.354856885,1.513169421,1.139343823,1.183020119,2.559166745,1.609033489
Arctonyx_collaris,2.019716393,1.661776599,1.567162956,1.858174824,3.102246227,3.383806533,2.515642351,1.23222524,1.835637784,1.215082182,1.403828909,2.62834121,2.721389061
Atilax_paludinosus,2.223911922,1.826552345,1.596663474,1.557684893,1.860251056,3.376057191,2.170217715,1.258921479,1.207917511,1.097709126,1.292515614,3.15305813,2.386828303
Bassariscus_astutus,2.360030825,1.765739871,1.753562923,1.426523026,3.695215261,3.810996493,2.707522116,1.039201473,2.315887937,1.132891153,1.623908618,3.191451671,3.481943348
Bdeogale_jacksoni,1.451646471,1.763529345,1.713739628,1.20286694,2.096744304,3.792665307,2.309068408,1.020617617,1.35921545,1.213509291,1.344969395,1.876629518,2.7456812
Canis_adustus,2.280662587,2.379785805,1.62694283,1.38444582,3.235977172,2.682205266,2.011252386,1.969532717,2.145994749,1.12479078,1.41872206,3.176987304,1.751618796
Canis_aureus,2.405060239,2.414303285,1.629470595,1.534512861,2.801876454,2.37733443,2.027590152,2.272732182,2.115716308,1.100057034,1.365858179,3.391100495,1.562525406
Canis_latrans,2.400137302,2.392599374,1.592863517,1.56394974,2.777960627,2.272395203,1.970196521,2.561813841,2.157127089,1.090075968,1.364699985,3.401773379,1.541455141
Canis_lupus,2.195039295,2.318574798,1.448331022,1.657476368,2.555454131,1.863707337,1.539901796,3.322754786,2.048807347,1.086703317,1.2299297,3.128933308,1.368917507
Canis_mesomelas,2.46578061,2.364730284,1.699427799,1.368731326,2.937588594,2.595010283,2.058684915,2.212663154,2.068541572,1.097484086,1.378805378,3.411515304,1.777097613
Canis_simensis,2.322299805,2.232056357,1.597716793,1.49715094,2.396318515,2.162361391,1.826544461,2.640765076,1.930468278,1.098922219,1.322698754,3.302636591,1.468183507
Caracal_caracal,2.741770858,1.500052051,1.186262628,1.503689914,1.559557145,1.843835198,2.093344971,3.114991914,1.588403044,1.032303386,1.047657922,3.805615246,1.197310429
