Species,nearest_1,n,percent
Arctogalidia_trivirgata,Conepatus_mesoleucus,282,0.0705
Arctogalidia_trivirgata,Hydrictis_maculicollis,248,0.062
Arctogalidia_trivirgata,Atilax_paludinosus,240,0.06
Bassaricyon_alleni,Bdeogale_jacksoni,1109,0.27725
Bassaricyon_alleni,Potos_flavus,851,0.21275
Bassaricyon_alleni,Arctictis_binturong,534,0.1335
Catopuma_badia,Leopardus_wiedii,586,0.1465
Catopuma_badia,Leptailurus_serval,550,0.1375
Catopuma_badia,Felis_silvestris,549,0.13725
Chrotogale_owstoni,Otocyon_megalotis,537,0.13425
Chrotogale_owstoni,Ichneumia_albicauda,393,0.09825
Chrotogale_owstoni,Procyon_lotor,354,0.0885
Cynogale_bennettii,Otocyon_megalotis,654,0.1635
Cynogale_bennettii,Nasua_nasua,558,0.1395
Cynogale_bennettii,Procyon_lotor,504,0.126
Daphoenus,Arctictis_binturong,549,0.13725
Daphoenus,Canis_aureus,266,0.0665
Daphoenus,Canis_adustus,264,0.066
Dinictis,Lycaon_pictus,707,0.17675
Dinictis,Cuon_alpinus,527,0.13175
Dinictis,Uncia_uncia,325,0.08125
Hemigalus_derbyanus,Nasuella_olivacea,1474,0.3685
Hemigalus_derbyanus,Nasua_nasua,688,0.172
Hemigalus_derbyanus,Bdeogale_jacksoni,637,0.15925
Herpestes_brachyurus,Vulpes_zerda,539,0.13475
Herpestes_brachyurus,Mephitis_mephitis,470,0.1175
Herpestes_brachyurus,Bassariscus_astutus,457,0.11425
Hoplophoneus_primaevus,Neofelis_nebulosa,524,0.131
Hoplophoneus_primaevus,Lycaon_pictus,518,0.1295
Hoplophoneus_primaevus,Cuon_alpinus,458,0.1145
Miacis,Conepatus_mesoleucus,404,0.101
Miacis,Paguma_larvata,351,0.08775
Miacis,Lycalopex_vetulus,325,0.08125
Mydaus_javanensis,Bassariscus_astutus,915,0.22875
Mydaus_javanensis,Viverricula_indica,788,0.197
Mydaus_javanensis,Conepatus_mesoleucus,365,0.09125
Paradoxurus_musanga,Lycalopex_vetulus,397,0.09925
Paradoxurus_musanga,Paguma_larvata,355,0.08875
Paradoxurus_musanga,Conepatus_mesoleucus,323,0.08075
Pardofelis_marmorata,Prionailurus_bengalensis,688,0.172
Pardofelis_marmorata,Leopardus_wiedii,591,0.14775
Pardofelis_marmorata,Leptailurus_serval,573,0.14325
Prionodon_linsang,Spilogale_putorius,670,0.1675
Prionodon_linsang,Vulpes_zerda,553,0.13825
Prionodon_linsang,Vulpes_velox,446,0.1115
Promartes_lepidus,Vulpes_velox,371,0.09275
Promartes_lepidus,Nandinia_binotata,366,0.0915
Promartes_lepidus,Atilax_paludinosus,320,0.08
Smilodon_fatalis,Panthera_leo,1839,0.45975
Smilodon_fatalis,Crocuta_crocuta,916,0.229
Smilodon_fatalis,Canis_lupus,407,0.10175
Ursus_spelaeus,Ursus_maritimus,1623,0.40575
Ursus_spelaeus,Ailuropoda_melanoleuca,871,0.21775
Ursus_spelaeus,Ursus_arctos,423,0.10575
