Food,Metric,Intercept_1,Intercept_2,Intercept_3,Mass,Phylo_sd,RLGA,RLGA:Mass,m1_RFI,m1_RFI:Mass,m2_RFI,m2_RFI:Mass,m1_OPCr,m1_OPCr:Mass,m2_OPCr,m2_OPCr:Mass,m1_aDNE,m1_aDNE:Mass,m2_aDNE,m2_aDNE:Mass
Bird,ALL,"-2.84 (-3.68, -2.11) ","-0.01 (-0.63, 0.61) ","3.15 (2.27, 4.11) ","-0.24 (-0.81, 0.33) ","0.53 (0.05, 1.29) ","-0.81 (-1.57, -0.04) ","1.42 (0.62, 2.26) ","0.05 (-0.48, 0.58) ","0.77 (0.25, 1.3) ","0.44 (-0.36, 1.22) ","-0.49 (-1.38, 0.43) ","0.08 (-0.54, 0.69) ","0.41 (-0.25, 1.06) ","-0.33 (-1.34, 0.67) ","-0.52 (-1.35, 0.29) ","-0.16 (-0.79, 0.49) ","0.47 (-0.24, 1.17) ","0.07 (-0.91, 1.08) ","-0.18 (-1.3, 0.93) "
Hard Invert,ALL,"-2.57 (-3.49, -1.71) ","-0.59 (-1.33, 0.22) ","1.46 (0.7, 2.4) ","-1.22 (-1.87, -0.6) ","0.79 (0.06, 1.97) ","1.62 (0.77, 2.5) ","0.64 (-0.18, 1.45) ","0.01 (-0.57, 0.59) ","-0.43 (-1.04, 0.15) ","-0.08 (-0.94, 0.77) ","-0.17 (-1.16, 0.79) ","0.15 (-0.49, 0.77) ","0.35 (-0.31, 1.02) ","0.14 (-0.88, 1.18) ","-0.86 (-1.68, -0.04) ","0.84 (0.15, 1.55) ","-1.3 (-2.06, -0.51) ","-0.72 (-1.76, 0.34) ","0.05 (-1.1, 1.2) "
Large Mammal,ALL,"0.68 (-0.17, 1.47) ","2.27 (1.42, 3.17) ","2.99 (2.02, 3.99) ","2.41 (1.62, 3.26) ","0.86 (0.09, 1.94) ","-1.21 (-2.27, -0.16) ","-0.44 (-1.42, 0.57) ","0.44 (-0.26, 1.14) ","0.35 (-0.37, 1.12) ","0.72 (-0.3, 1.73) ","0.47 (-0.61, 1.57) ","-0.48 (-1.25, 0.29) ","-0.33 (-1.18, 0.51) ","-0.29 (-1.42, 0.87) ","0.54 (-0.36, 1.49) ","0 (-0.8, 0.83) ","0.01 (-0.9, 0.91) ","-0.44 (-1.62, 0.7) ","-0.05 (-1.3, 1.22) "
Plant,ALL,"-0.8 (-2.25, 0.53) ","1.9 (0.53, 3.25) ","3.84 (2.23, 5.54) ","0.19 (-0.52, 0.9) ","2.45 (1.47, 3.48) ","0.37 (-0.61, 1.36) ","-0.08 (-1.1, 0.92) ","0.31 (-0.36, 0.99) ","0.15 (-0.45, 0.75) ","-0.02 (-1.08, 1.02) ","0.11 (-0.95, 1.17) ","0.09 (-0.67, 0.88) ","0.24 (-0.55, 1.03) ","0.53 (-0.55, 1.6) ","0.83 (-0.14, 1.84) ","0.16 (-0.65, 1.03) ","-0.6 (-1.46, 0.26) ","0.32 (-0.9, 1.47) ","-0.44 (-1.65, 0.75) "
Carrion,DNE,"-0.18 (-1.14, 0.79) ","1.48 (0.55, 2.54) ","3.74 (2.55, 5.19) ","0.15 (-0.34, 0.65) ","1.39 (0.26, 2.62) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.51 (-1.15, 0.14) ","0.36 (-0.33, 1.05) ","0.37 (-0.4, 1.1) ","-0.41 (-1.08, 0.23) "
Egg,DNE,"0.34 (-0.29, 0.9) ","1.99 (1.3, 2.67) ","4.47 (3.25, 5.9) ","-0.12 (-0.55, 0.33) ","0.54 (0.04, 1.34) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.32 (-0.92, 0.25) ","0.05 (-0.57, 0.68) ","0.68 (0.04, 1.34) ","-0.39 (-0.97, 0.17) "
Hard Invert,DNE,"-2.56 (-3.68, -1.64) ","-0.7 (-1.65, 0.19) ","1.17 (0.28, 2.15) ","-1.05 (-1.64, -0.51) ","1.27 (0.26, 2.38) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96 (0.35, 1.58) ","-1.31 (-2.03, -0.6) ","0.31 (-0.37, 0.99) ","0.22 (-0.36, 0.81) "
Herptile,DNE,"-1.37 (-1.98, -0.77) ","0.33 (-0.19, 0.93) ","3.23 (2.4, 4.23) ","-0.31 (-0.72, 0.11) ","0.5 (0.04, 1.25) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.66 (0.1, 1.24) ","0.7 (0.1, 1.3) ","-0.44 (-1.04, 0.15) ","-0.61 (-1.17, -0.07) "
Plant,DNE,"-0.88 (-2.33, 0.34) ","1.57 (0.32, 2.81) ","3.19 (1.8, 4.61) ","0.33 (-0.27, 0.93) ","2.06 (1.09, 3.08) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (-0.42, 0.98) ","-0.26 (-1.01, 0.5) ","0.77 (-0.04, 1.61) ","0.1 (-0.59, 0.78) "
Seed,DNE,"1.61 (0.92, 2.26) ","2.83 (2.11, 3.53) ","4.09 (3.21, 5) ","0.1 (-0.5, 0.71) ","0.66 (0.06, 1.54) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.31 (-0.37, 1.02) ","-0.11 (-0.83, 0.58) ","0.99 (0.18, 1.8) ","-0.01 (-0.79, 0.76) "
