Food,Metric,Intercept_1,Intercept_2,Intercept_3,Mass,Phylo_sd,RLGA,RLGA:Mass,m1_RFI,m1_RFI:Mass,m2_RFI,m2_RFI:Mass,m1_OPCr,m1_OPCr:Mass,m2_OPCr,m2_OPCr:Mass,m1_aDNE,m1_aDNE:Mass,m2_aDNE,m2_aDNE:Mass
Large Mammal,ALL,"0.48 (-0.38, 1.23) ","1.97 (1.12, 2.82) ","2.88 (1.95, 3.86) ","2.28 (1.49, 3.09) ","0.82 (0.08, 1.92) ","-1.57 (-2.63, -0.48) ","-0.01 (-1.11, 1.08) ","0.22 (-0.46, 0.9) ","0.71 (-0.03, 1.47) ","0.68 (-0.3, 1.65) ","0.41 (-0.64, 1.49) ","-0.08 (-0.83, 0.66) ","-0.25 (-1.09, 0.6) ","-0.11 (-1.18, 1) ","0.2 (-0.68, 1.09) ","-0.55 (-1.4, 0.27) ","-0.04 (-0.94, 0.88) ","-0.13 (-1.27, 0.94) ","-0.01 (-1.22, 1.2) "
Plant,ALL,"-0.74 (-2.11, 0.45) ","1.96 (0.66, 3.21) ","3.62 (2.23, 5.13) ","0.24 (-0.42, 0.92) ","2.01 (0.89, 3.1) ","0.26 (-0.67, 1.2) ","-0.34 (-1.32, 0.67) ","0.38 (-0.29, 1.06) ","0.44 (-0.17, 1.06) ","-0.17 (-1.15, 0.83) ","-0.36 (-1.39, 0.67) ","0.64 (-0.1, 1.36) ","0.22 (-0.54, 1.01) ","0.18 (-0.96, 1.25) ","0.77 (-0.23, 1.8) ","0.66 (-0.1, 1.46) ","-0.99 (-1.84, -0.15) ","-0.27 (-1.41, 0.86) ","0.56 (-0.62, 1.75) "
Egg,DNE,"0.39 (-0.29, 0.99) ","2.49 (1.75, 3.24) ","4.47 (3.3, 5.87) ","-0.29 (-0.76, 0.17) ","0.56 (0.05, 1.39) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.49 (-1.11, 0.13) ","0.18 (-0.45, 0.81) ","0.94 (0.28, 1.6) ","-0.37 (-1.01, 0.27) "
Hard Invert,DNE,"-2.62 (-3.69, -1.65) ","-0.46 (-1.41, 0.44) ","1.06 (0.15, 2.04) ","-1.42 (-2.06, -0.81) ","1.29 (0.48, 2.28) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.69 (0.03, 1.36) ","-1.2 (-1.93, -0.5) ","0.56 (-0.16, 1.3) ","0.22 (-0.38, 0.83) "
Herptile,DNE,"-1.45 (-2.07, -0.88) ","0.75 (0.23, 1.31) ","3.05 (2.3, 3.89) ","-0.84 (-1.3, -0.39) ","0.41 (0.03, 1.06) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.84 (0.28, 1.41) ","0.51 (-0.1, 1.15) ","-0.75 (-1.33, -0.17) ","-0.43 (-1.06, 0.17) "
Plant,DNE,"-0.71 (-1.99, 0.31) ","1.71 (0.62, 2.76) ","3.07 (1.9, 4.28) ","0.39 (-0.18, 0.95) ","1.6 (0.49, 2.7) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.66 (-0.05, 1.38) ","-0.68 (-1.38, 0.03) ","0.12 (-0.64, 0.9) ","0.49 (-0.2, 1.15) "
Seed,DNE,"1.73 (0.99, 2.42) ","2.86 (2.12, 3.62) ","3.99 (3.1, 5) ","0.06 (-0.6, 0.7) ","0.69 (0.06, 1.67) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18 (-0.53, 0.91) ","0.07 (-0.67, 0.8) ","0.94 (0.11, 1.79) ","-0.15 (-0.96, 0.63) "
Small Mammal,DNE,"-3.19 (-4.45, -2) ","-0.8 (-1.85, 0.34) ","0.72 (-0.32, 1.94) ","-0.94 (-1.53, -0.37) ","1.68 (0.78, 2.68) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.23 (-0.91, 0.45) ","0.3 (-0.36, 1) ","-0.82 (-1.61, -0.03) ","0.65 (-0.07, 1.43) "
Soft Invert,DNE,"-0.31 (-1.09, 0.46) ","1.28 (0.54, 2.07) ","2.34 (1.52, 3.22) ","-1.12 (-1.7, -0.56) ","1.44 (0.57, 2.38) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.23 (-0.4, 0.86) ","-0.98 (-1.67, -0.31) ","0.39 (-0.34, 1.09) ","0.41 (-0.28, 1.09) "
Carrion,OPCr,"-0.95 (-2.11, 0.02) ","1.29 (0.26, 2.31) ","3.29 (2.11, 4.6) ","0.36 (-0.16, 0.88) ","1.59 (0.59, 2.61) ",NA,NA,NA,NA,NA,NA,"0.33 (-0.3, 0.98) ","0.48 (-0.23, 1.16) ","-0.25 (-1.09, 0.58) ","-0.42 (-1.15, 0.3) ",NA,NA,NA,NA
