Food,Metric,Intercept_1,Intercept_2,Intercept_3,Mass,Phylo_sd,RLGA,RLGA:Mass,m1_RFI,m1_RFI:Mass,m2_RFI,m2_RFI:Mass,m1_OPCr,m1_OPCr:Mass,m2_OPCr,m2_OPCr:Mass,m1_aDNE,m1_aDNE:Mass,m2_aDNE,m2_aDNE:Mass
Bird,ALL,"-3.02 (-4.06, -2.12) ","0.51 (-0.25, 1.24) ","3.7 (2.66, 4.85) ","-0.55 (-1.16, 0.05) ","0.75 (0.08, 1.6) ","-0.91 (-1.68, -0.16) ","1.01 (0.13, 1.9) ","0.36 (-0.22, 0.91) ","0.53 (0.01, 1.06) ","0.01 (-0.85, 0.86) ","-0.52 (-1.45, 0.39) ","0.18 (-0.47, 0.83) ","0.12 (-0.58, 0.83) ","-0.86 (-1.85, 0.12) ","0.21 (-0.62, 1.01) ","0.1 (-0.57, 0.77) ","0.54 (-0.16, 1.25) ","0.12 (-0.91, 1.11) ","0.09 (-1.02, 1.18) "
Hard Invert,ALL,"-2.55 (-3.51, -1.62) ","-0.28 (-1.06, 0.64) ","1.32 (0.49, 2.33) ","-1.59 (-2.26, -0.95) ","1 (0.11, 2.21) ","1.35 (0.45, 2.26) ","0.6 (-0.36, 1.53) ","0.06 (-0.56, 0.69) ","-0.4 (-1.03, 0.22) ","-0.33 (-1.19, 0.53) ","-0.17 (-1.13, 0.79) ","0.08 (-0.6, 0.72) ","-0.1 (-0.81, 0.62) ","0.06 (-0.97, 1.13) ","-0.36 (-1.23, 0.48) ","0.61 (-0.11, 1.33) ","-1.06 (-1.84, -0.32) ","-0.07 (-1.13, 1) ","-0.11 (-1.34, 1.13) "
Large Mammal,ALL,"0.49 (-0.37, 1.26) ","1.99 (1.13, 2.88) ","3.05 (2.07, 4.1) ","2.19 (1.4, 3.01) ","0.83 (0.08, 1.88) ","-1.72 (-2.81, -0.68) ","-0.27 (-1.31, 0.75) ","0.16 (-0.56, 0.85) ","0.53 (-0.17, 1.22) ","0.66 (-0.31, 1.62) ","0.43 (-0.63, 1.49) ","-0.08 (-0.81, 0.66) ","-0.37 (-1.19, 0.42) ","-0.05 (-1.22, 1.07) ","0.3 (-0.63, 1.2) ","-0.52 (-1.38, 0.32) ","0.12 (-0.76, 1.04) ","-0.11 (-1.26, 1.01) ","-0.03 (-1.3, 1.22) "
Plant,ALL,"-0.76 (-2.21, 0.45) ","1.95 (0.68, 3.16) ","3.91 (2.44, 5.47) ","0.17 (-0.49, 0.84) ","2.03 (0.93, 3.17) ","0.14 (-0.74, 1.05) ","-0.52 (-1.55, 0.47) ","0.32 (-0.36, 1) ","0.28 (-0.31, 0.88) ","-0.19 (-1.21, 0.86) ","-0.36 (-1.42, 0.67) ","0.62 (-0.11, 1.34) ","0.09 (-0.67, 0.85) ","0.24 (-0.8, 1.29) ","0.86 (-0.09, 1.82) ","0.72 (-0.06, 1.52) ","-0.84 (-1.63, -0.09) ","-0.28 (-1.36, 0.85) ","0.57 (-0.61, 1.74) "
Carrion,DNE,"-0.41 (-1.47, 0.63) ","1.87 (0.84, 3.05) ","3.85 (2.67, 5.27) ","0.37 (-0.16, 0.9) ","1.51 (0.47, 2.61) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.68, 0.66) ","0.35 (-0.31, 1.03) ","0.24 (-0.51, 1.01) ","-0.34 (-0.99, 0.34) "
Egg,DNE,"0.37 (-0.35, 0.98) ","2.48 (1.73, 3.23) ","4.47 (3.29, 5.86) ","-0.29 (-0.76, 0.19) ","0.59 (0.05, 1.53) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.48 (-1.13, 0.14) ","0.19 (-0.44, 0.81) ","0.94 (0.28, 1.63) ","-0.37 (-1, 0.25) "
Hard Invert,DNE,"-2.63 (-3.74, -1.66) ","-0.45 (-1.37, 0.44) ","1.06 (0.14, 2.04) ","-1.43 (-2.07, -0.82) ","1.29 (0.47, 2.33) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.68 (0.01, 1.33) ","-1.19 (-1.93, -0.5) ","0.56 (-0.14, 1.31) ","0.2 (-0.41, 0.83) "
Herptile,DNE,"-1.44 (-2.04, -0.87) ","0.71 (0.19, 1.23) ","2.92 (2.17, 3.76) ","-0.82 (-1.28, -0.36) ","0.39 (0.03, 1.03) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.81 (0.24, 1.38) ","0.5 (-0.08, 1.12) ","-0.73 (-1.3, -0.13) ","-0.43 (-1.03, 0.14) "
Plant,DNE,"-0.81 (-2.17, 0.32) ","1.63 (0.4, 2.75) ","3.25 (1.94, 4.58) ","0.35 (-0.23, 0.92) ","1.7 (0.57, 2.82) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.69 (-0.02, 1.42) ","-0.59 (-1.32, 0.09) ","0.1 (-0.68, 0.87) ","0.4 (-0.28, 1.06) "
Seed,DNE,"1.73 (1.03, 2.42) ","2.86 (2.11, 3.63) ","4.01 (3.09, 4.96) ","0.06 (-0.59, 0.72) ","0.68 (0.05, 1.65) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18 (-0.55, 0.91) ","0.07 (-0.65, 0.8) ","0.95 (0.15, 1.77) ","-0.15 (-0.95, 0.66) "
