Species,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Family,Discrete,m1_opcr,m2_opcr,m1_dne,m2_dne,RFI_m1,RFI_m2,RLGA,log_cuberoot_mass,large_mammal,small_mammal,bird,herptile,fish,egg,carrion,hard_invert,soft_invert,seed,fruit,root,plant,hopkins_pineda,hopkins_van_valk,pineda,pantheria,mass_kg,phylo,m1_tooth_length,class3,class4,class5,class6
Felis_silvestris,0.959315120043046,-0.48484811767462305,0.12882760820039926,-0.4719407023023182,-0.6667642592459819,0.9822893648371502,-0.6422231045566877,0.5097978341787525,0.21008230774492886,0.45358615838968813,-0.022260666504040075,-0.9077330802793654,0.5003124131501413,Felidae,Carnivore,-1.36972118744998,-1.0645404225814596,-1.126540878982668,-1.6390912243675282,1.0993150350348895,-1.7209097243318139,-1.531264564216185,-0.2897323481100049,1,4,2,2,2,1,1,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,Carnivore,Carnivore,4.573080006816896,Felis_silvestris,NA,1,1,1,1
Galictis_cuja,1.1196659986409483,0.8354446995216925,0.7404323245745859,-0.5830000747978266,0.33337872619258263,1.3694829001689792,0.24447659486091922,0.048682565742743704,-0.23026743936213953,0.022891509787846633,0.35517262148798817,-0.974568466421676,0.08882383413175579,Mustelidae,Carnivore,-1.1812290622125028,-0.4811952260563634,-0.36685915662799934,0.04671391090325776,0.09243025129160512,0.397257098700614,-0.44466694595186074,-1.299183608753117,1,4,3,3,1,2,1,2,1,1,2,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,1,Galictis_cuja,NA,1,2,2,2
Leopardus_wiedii,1.3213353681996107,0.9857086944060728,0.6975908475298777,-1.2996788311227687,0.11751710169348413,1.110611725198399,-0.007512952387315472,0.3143429455217754,-1.0459543219331744,0.4908328104135238,0.6151081232057499,-0.6577945761421443,-0.25956582708822806,Felidae,Carnivore,-0.9756012892261643,-1.0645404225814596,-1.4458053941106819,-1.6390912243675282,-0.36633612860105,-1.7209097243318139,-1.531264564216185,-0.5122818598040922,1,4,4,3,1,1,1,2,1,1,2,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,3.2708100043926653,Leopardus_wiedii,NA,1,2,2,2
Poecilogale_albinucha,1.8962138996674136,-0.8230991576008078,-0.11962107679716874,0.19178751897528007,0.8393075455852388,1.6761988526766909,-1.006331299941471,0.5662829959415095,-0.22660880637076314,1.0394652971100782,0.09942657548784635,-0.9888446966448818,0.245996415991206,Mustelidae,Carnivore,-0.813155348566957,-1.0645404225814596,-0.9839706925024735,-1.6390912243675282,-0.10833123785933327,-1.7209097243318139,-0.6565237081401999,-2.0808385094165387,1,4,2,1,1,1,1,1,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,0.30815999980659153,Poecilogale_albinucha,NA,1,1,1,1
Canis_simensis,2.007987391729542,-0.5819035490303898,-0.9904229151558986,0.6415300528056394,0.4753642237184627,1.7630494865595734,-0.2924055336477793,0.8151356757747106,0.271981105245216,0.16750593802636782,0.06461872763710762,-0.5084787176198664,0.37360387002195855,Canidae,Carnivore,-0.62466322332948,-0.13033975293860287,-0.08731074760179114,0.49704862154695983,0.22708942822473727,0.639997218822589,-0.15434100859472683,0.47017752261203816,2,4,2,1,1,2,1,1,1,1,1,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,14.361859990023598,Canis_simensis,NA,1,1,1,1
Cryptoprocta_ferox,1.4467163911969951,0.7714507953343791,1.0466739992858944,-0.17070459057527293,0.26140421733572117,1.2966566938833453,0.7136873340277876,0.14393366674582342,-0.2616645783352543,0.1020925282452183,0.17800569456985862,0.48063770831507907,0.56755559870472,Eupleridae,Carnivore,-0.84742664406468,-1.0645404225814596,-0.81838469116449,-1.6390912243675282,0.9949763477669076,-1.7209097243318139,-1.1093263056860103,0.1957439463971074,2,4,3,3,1,2,1,3,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,9.500000013238298,Cryptoprocta_ferox,NA,1,2,2,2
Gulo_gulo,1.2797137089273702,0.37646854123752765,-1.4339707679207834,0.9775687001431763,0.742504271160961,-0.9651798119250184,-1.1619612320450725,-0.06915279439069245,-0.06001259236421604,1.5009221098046024,-0.9753287548219531,-0.8974911388580116,0.11331238690703752,Mustelidae,Carnivore,0.42506655776577823,0.09184851443591442,-0.9994744011219565,-0.26323321706220143,-0.9247460026193783,0.43369562395025646,-0.4929067210897305,0.39333731565114466,2,4,2,1,2,1,4,1,2,1,2,1,1,Hypercarnivore,Hypercarnivore,Carnivore,Carnivore,12.79249001293612,Gulo_gulo,NA,1,2,2,2
Leptailurus_serval,1.4267718544881256,0.26320403287605276,0.6215548528908506,-0.9053009295712993,-0.29906971720743586,1.0437282503402756,0.7409209763406716,0.7246188012229896,-0.11086245475779427,0.5845531350812954,0.18895081992141408,0.6821339233782602,0.47450394416975256,Felidae,Carnivore,-0.8601070233988376,-1.0645404225814596,-1.34087565484583,-1.6390912243675282,1.057947093129706,-1.7209097243318139,-1.531264564216185,-0.5122818677724643,2,4,3,3,1,1,1,3,1,1,1,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,3.2708099651429454,Leptailurus_serval,NA,1,2,2,2
Lynx_canadensis,2.2295174343103685,-0.4916050043988411,-0.7842111260246867,0.45013018583572184,0.9528068720786484,0.9214152378928699,-0.7245133103071246,0.18236157198181008,-0.15517367080462297,1.175119469687453,-0.3055404048253089,-0.46972788347565003,0.3109311358125792,Felidae,Carnivore,-1.3484729842413916,-1.0645404225814596,-1.555849758899487,-1.6390912243675282,0.08777192067178652,-1.7209097243318139,-1.531264564216185,0.20840129503180885,2,4,2,1,1,1,2,1,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,9.682820007974485,Lynx_canadensis,NA,1,1,1,1
Prionailurus_bengalensis,1.0295926994708213,1.512223032492676,0.7267342791881166,-0.9200168229393944,-0.24653595565185757,0.15939917832830805,1.3864300712519497,1.078404398745495,-0.44798522073103164,1.019095674436849,0.05262815308313494,0.7467257019866582,-0.31228834008001627,Felidae,Carnivore,-1.5499882017680031,-1.0645404225814596,-0.1928020567659682,-1.6390912243675282,1.2858148238181206,-1.7209097243318139,-1.531264564216185,-0.6200128375639111,2,4,4,4,1,1,2,3,2,1,1,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,2.7809700035954417,Prionailurus_bengalensis,NA,1,2,2,2
